index,href,title,image
55,https://www.avito.ru/sankt-peterburg/odezhda_obuv_aksessuary/vintazhnoe_sherstyanoe_palto_-_50_made_in_italy_4468489638?slocation=621540,Винтажное шерстяное пальто - 50 Made in Italy,https://00.img.avito.st/image/1/1.35uyl7aAc3LEMoF0gKDpnpg2cXYAIHdyAEcSdgD0d4AANHV-AjRzckI.UynzZ-DJr5LoMdaoKpjRHDbddDfw3tZzuxDiDc31H7E
56,https://www.avito.ru/sankt-peterburg/odezhda_obuv_aksessuary/vintazhnyy_sherstyanoy_norvezhskiy_kardigan_-_m_4531504251?slocation=621540,Винтажный шерстяной норвежский кардиган - М,https://40.img.avito.st/image/1/1.WJLhyLaA9HuXbQZ93ekV6P5p9n9Tf_B7UxiVf1Or8IlTa_J3UWv0exE.N7Xc3TKgmLAdt-6EH0J-EWmQgrivzEpZwMSg0ih_TrA
57,https://www.avito.ru/sankt-peterburg/odezhda_obuv_aksessuary/vintazhnoe_sherstyanoe_palto_s_lisim_podkladom_4467892074?slocation=621540,Винтажное шерстяное пальто с лисьим подкладом,https://30.img.avito.st/image/1/1.0jfZPraAft6vm4zY8Q2CT8iffNpriXrea-4f2mtdeixrnXjSaZ1-3ik.10vyUsNe3TV7vpHTi33h72VYtvxs-EpsoUogsW2NKjM
58,https://www.avito.ru/sankt-peterburg/odezhda_obuv_aksessuary/vintazhnyy_sherstyanoy_kardigan_-_xl_4468110114?slocation=621540,Винтажный шерстяной кардиган - XL,https://00.img.avito.st/image/1/1.GYEwELaAtWhGtUduDhBI8xuxt2yCp7FogsDUbIJzsZqCs7NkgLO1aMA.2iJrVI3PwhwtgkJtfv-Pt_BLq35SfNRtihP-LN_W94M
59,https://www.avito.ru/sankt-peterburg/odezhda_obuv_aksessuary/vintazhnoe_sherstyanoe_palto_-_lxl_4468330748?slocation=621540,Винтажное шерстяное пальто - L/XL,https://40.img.avito.st/image/1/1.a659A7aAx0cLpjVBJyJ-qFeixUPPtMNHz9OmQ89gw7XPoMFLzaDHR40.JVsKq1ttChLpxpu3Nv24l8kallY7JrZQjR9i62BbyR4
60,https://www.avito.ru/sankt-peterburg/odezhda_obuv_aksessuary/mikropuhovik_berghaus_x_primaloft_-_xl_original_4468192162?slocation=621540,Микропуховик Berghaus x Primaloft - XL оригинал,https://70.img.avito.st/image/1/1.QKigfbaA7EHW2B5HrEx8yYvc7kUSyuhBEq2NRRIe6LMS3upNEN7sQVA.1W_8MgZc0uJ2ySjAoyqnL5XYgiQV81YQEE1GKI_YCwo
61,https://www.avito.ru/sankt-peterburg/odezhda_obuv_aksessuary/vintazhnyy_trench_maura_styled_m_original_n3_4307919770?slocation=621540,Винтажный тренч maura styled М оригинал N3,https://40.img.avito.st/image/1/1.dKUmPbaA2ExQmCpKQnQyux6c2kiUitxMlO25SJRe3L6Unt5Alp7YTNY.UGjinZbgufIUCDmZBeBCNtvrerGWZLKIZgsDxsQZtZg
62,https://www.avito.ru/sankt-peterburg/odezhda_obuv_aksessuary/kurtka_corner_stone_active_jacket_x_carhartt_type_4499933554?slocation=621540,Куртка Corner Stone Active Jacket x Carhartt type,https://80.img.avito.st/image/1/1.JFfjeLaAiL6V3Xq4pxB0JMvZirpRz4y-UajpulEbjExR246yU9uIvhM.S2m5oNIj8TuPoQdQN7OfSczJrmzqBNNuq4YgJcjwS9g
63,https://www.avito.ru/sankt-peterburg/odezhda_obuv_aksessuary/sherstyanoy_kardigan_lyle_scott_-_m_original_4468031452?slocation=621540,Шерстяной кардиган Lyle Scott - М оригинал,https://70.img.avito.st/image/1/1.-u6WjraAVgfgK6QB7pGf57wvVAMkOVIHJF43AyTtUvUkLVALJi1WB2Y.3mg8dJlhu1nQWZYQtTGy4jQfWb09Be_QA9tl6ahib44
64,https://www.avito.ru/sankt-peterburg/odezhda_obuv_aksessuary/kurtka_active_jacket_x_tri-mountain_x_carhartt_4436480538?slocation=621540,Куртка Active Jacket x Tri-Mountain x Carhartt,https://70.img.avito.st/image/1/1.O5_zOraAl3aFn2VwiV5NgeCblXJBjZN2Qer2ckFZk4RBmZF6Q5mXdgM.05kWyU0OgUNjGC3nYoltk7_5Xr1p62KOPm4SYAirZZE
